slug,acronym,author,name,edition_date,country,pages,volume,shelf_number,dates,notes
Annales du commerce extérieur. Haïti. Faits commerciaux n° 8  BNF : LC5-138 (C),ACE-3,,Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers,,Haïti,,8,BNF: LC5-138 (C),,
"Annales du commerce extérieur. Iles ioniennes. Faits commerciaux, n° 10. BNF : LC5-138 (CF)",ACE-3,,Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers,,Iles ioniennes,,10,BNF: LC5-138 (CF),,
"Annales du commerce extérieur. Iles ioniennes. Faits commerciaux, n° 11. BNF : LC5-138 (CF)",ACE-3,,Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers,,Iles ioniennes,,11,BNF: LC5-138 (CF),,
"Annales du commerce extérieur. Iles ioniennes. Faits commerciaux, n° 7. BNF : LC5-138 (CF)",ACE-3,,Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers,,Iles ioniennes,,7,BNF: LC5-138 (CF),,
"Annales du commerce extérieur. Iles ioniennes. Faits commerciaux, n° 9. BNF : LC5-138 (CF)",ACE-3,,Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers,,Iles ioniennes,,9,BNF: LC5-138 (CF),,
Annales du commerce extérieur. Indes occidentales anglaises et possessions britanniques de l'Amérique du Nord. Faits commerciaux n° 11. BNF : LC5-138 (AV).,ACE-3,,Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers,,Indes occidentales anglaises et possessions britanniques de l'Amérique du Nord,,11,BNF: LC5-138 (AV),,
Annales du commerce extérieur. Indes occidentales anglaises et possessions britanniques de l'Amérique du Nord. Faits commerciaux n° 13. BNF : LC5-138 (AV).,ACE-3,,Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers,,Indes occidentales anglaises et possessions britanniques de l'Amérique du Nord,,13,BNF: LC5-138 (AV),,
Annales du commerce extérieur. Indes occidentales anglaises et possessions britanniques de l'Amérique du Nord. Faits commerciaux n° 14. BNF : LC5-138 (AV).,ACE-3,,Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers,,Indes occidentales anglaises et possessions britanniques de l'Amérique du Nord,,14,BNF: LC5-138 (AV),,
Annales du commerce extérieur. Indes occidentales anglaises et possessions britanniques de l'Amérique du Nord. Faits commerciaux n° 3. BNF : LC5-138 (AV),ACE-3,,Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers,,Indes occidentales anglaises et possessions britanniques de l'Amérique du Nord,,3,BNF: LC5-138 (AV),,
Annales du commerce extérieur. Indes occidentales anglaises et possessions britanniques de l'Amérique du Nord. Faits commerciaux n° 4. BNF : LC5-138 (AV),ACE-3,,Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers,,Indes occidentales anglaises et possessions britanniques de l'Amérique du Nord,,4,BNF: LC5-138 (AV),,
Annales du commerce extérieur. Indes occidentales anglaises et possessions britanniques de l'Amérique du Nord. Faits commerciaux n° 6. BNF : LC5-138 (AV).,ACE-3,,Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers,,Indes occidentales anglaises et possessions britanniques de l'Amérique du Nord,,6,BNF: LC5-138 (AV),,
Annales du commerce extérieur. Indes occidentales anglaises et possessions britanniques de l'Amérique du Nord. Faits commerciaux n° 7. BNF : LC5-138 (AV).,ACE-3,,Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers,,Indes occidentales anglaises et possessions britanniques de l'Amérique du Nord,,7,BNF: LC5-138 (AV),,
Annales du commerce extérieur. Indes occidentales anglaises et possessions britanniques de l'Amérique du Nord. Faits commerciaux n°9. BNF : LC5-138 (AV).,ACE-3,,Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers,,Indes occidentales anglaises et possessions britanniques de l'Amérique du Nord,,9,BNF: LC5-138 (AV),,
Annales du commerce extérieur. Indes occidentales espagnoles. Faits commerciaux n° 10  BNF : LC5-138 (CM).,ACE-3,,Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers,,Indes occidentales espagnoles,,10,BNF: LC5-138 (CM),,
Annales du commerce extérieur. Indes occidentales espagnoles. Faits commerciaux n° 11  BNF : LC5-138 (CM),ACE-3,,Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers,,Indes occidentales espagnoles,,11,BNF: LC5-138 (CM),,
Annales du commerce extérieur. Indes occidentales espagnoles. Faits commerciaux n° 12.  BNF : LC5-138 (CM),ACE-3,,Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers,,Indes occidentales espagnoles,,12,BNF: LC5-138 (CM),,
